company_name,job_description,job_salary,job_type,job_classification,company_review,company_benefits,company_size,company_industry,job_location
Encora Technologies Sdn Bhd,Android Developer (Kotlin),No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),3.8,No info for Company Benefits,1-10 employees,Computer Software & Networking,"Kuala Lumpur City Centre, Kuala Lumpur"
MayAir Manufacturing (M) Sdn. Bhd.,Production Engineer (China),No info for Job Salary,Full time,Industrial Engineering (Engineering),No info for Company Review,"Medical
Dental",51-100 employees,Science & Technology,"Semenyih, Selangor"
MindValley Labs Sdn Bhd,Machine Learning Engineer,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),3.8,"Medical
Education support
team retreats; events like WebCamp, guest talks; i",51-100 employees,Services,"Kuala Lumpur City Centre, Kuala Lumpur"
Resintech Plastics (M) Sdn Bhd,DESIGN ENGINEER (WATER TREATMENT PLANT),"RM 3,500 - RM 5,000 per month",Full time,Water & Waste Engineering (Engineering),No info for Company Review,Vision,51-100 employees,"Manufacturing, Transport & Logistics","Teluk Panglima Garang, Selangor"
"Data Science, Engineering",Lead Machine Learning Engineer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
Dyson Manufacturing Sdn Bhd,Technology Development Intern,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),4.6,Medical,"More than 10,000 employees",FMCG Manufacturing,"Johor Bahru, Johor"
Keysight Technologies Malaysia Sdn. Bhd.,Digitalization Quality Engineer (Programmer),No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),4.6,"Medical
Education support
Dental
Sports (e.g. Gym)
Parking
Vision
Meal Allowance, Mother's Room, Moms-to-be Carpark,","1,001-5,000 employees",Consumer Electronics Manufacturing,"Bayan Lepas, Penang"
AirAsia,Enterprise Application Management Lead,No info for Job Salary,Full time,Team Leaders (Information & Communication Technology),4.3,"Dental
Medical
Staff discount for Flights and many more","101-1,000 employees",Information & Communication Technology,"Kuala Lumpur City Centre, Kuala Lumpur"
Astro,Products Development Manager,No info for Job Salary,Full time,Programme & Project Management (Information & Communication Technology),4.3,"Medical
Miscellaneous allowance
Education support
Dental
Sports (e.g. Gym)
Parking
Vision","1,001-5,000 employees","Broadcast Media, Entertainment and Publishing",Kuala Lumpur
AirAsia,"Executive, Business Analyst",No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",4.3,"Dental
Medical
Staff discount for Flights and many more","101-1,000 employees",Information & Communication Technology,"Kuala Lumpur City Centre, Kuala Lumpur"
Ensign Infosecurity (Malaysia) Sdn Bhd,SOAR Developer,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Capital Dynamics Asset Management Sdn Bhd,Database Developer/Designer,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),4.3,"Medical
Customisable performance based remuneration struct",51-100 employees,Banking & Financial Services,Kuala Lumpur
NielsenIQ,Data Processing Specialist - Traditional Chinese (Reference Data_Taiwan),No info for Job Salary,Full time,Marketing Communications (Marketing & Communications),3.5,"Medical
Parking","101-1,000 employees",Consulting Services,"Subang Jaya, Selangor"
Data Analytics,Intern - Data Scientist (Analytics) - Fulfilment,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
SEACADEMY SDN. BHD.,KPI Analyst Cum Business Analyst,No info for Job Salary,Contract/Temp,Business/Systems Analysts (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Miri, Sarawak"
RM LEOPAD SDN BHD,Senior Sales Engineer,"RM 3,500 - RM 4,500 per month",Full time,Other (Sales),3.8,"Medical
Miscellaneous allowance
Education support
Loans
EPF, SOCSO, EIS, KPI Driven Bonus.","1,001-5,000 employees",Oil & Gas Extraction & Refinement,Kuala Lumpur
G9 Engineering Sdn Bhd,Civil Engineering,No info for Job Salary,Full time,Civil/Structural Engineering (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Sabah
Aonic (Formerly Poladrone),Retail Sales Assistant,No info for Job Salary,Full time,Retail Assistants (Retail & Consumer Products),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Bukit Bintang, Kuala Lumpur"
Talbotiq,Data Scientist,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
ACCORD INNOVATIONS SDN. BHD.,Data Engineer (Eclipse),No info for Job Salary,Contract/Temp,Database Development & Administration (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,"Kuala Lumpur City Centre, Kuala Lumpur"
The Access Group,DevOps Engineer (Fathom),No info for Job Salary,Full time,Security (Information & Communication Technology),4.1,"Medical
Miscellaneous allowance
Flexi Working","More than 10,000 employees",Information & Communication Technology,"Kuala Lumpur City Centre, Kuala Lumpur"
Deloitte,Consultant / Senior Consultant - Artificial Intelligence & Data (Data Engineer,No info for Job Salary,Full time,Consultants (Information & Communication Technology),3.9,Medical,51-100 employees,Accounting & Auditing,Kuala Lumpur
Accion Labs Sdn. Bhd.,Data Engineer,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),4.3,"Medical
Miscellaneous allowance","101-1,000 employees",Computer Software & Networking,Kuala Lumpur
ZALORA Malaysia,Data Engineer II,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),3.9,Medical,"101-1,000 employees",Arts & Cultural Services,Kuala Lumpur
ACCORD INNOVATIONS SDN. BHD.,"Data Engineer, Data Support Engineer",No info for Job Salary,Contract/Temp,Database Development & Administration (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
ACCORD INNOVATIONS SDN. BHD.,Kafka Data Engineer (Eclipse),No info for Job Salary,Contract/Temp,Database Development & Administration (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,"Kuala Lumpur City Centre, Kuala Lumpur"
New Hoong Fatt Auto Supplies Sdn Bhd,Data Engineer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),3.7,"Medical
Miscellaneous allowance
Education support
Parking
Introductory Scheme, Employee Study Award, Best Wo","101-1,000 employees","Manufacturing, Transport & Logistics",Selangor
Unison Consulting,Data Engineer (Spark Scala Elastic),No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Selangor, Selangor"
Unison Consulting,Sr Datamart Murex Consultant,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Hilti (Malaysia) Sdn Bhd,Data Engineer Intern,No info for Job Salary,Full time,Business/Systems Analysts (Information & Communication Technology),4.3,"Medical
Education support
Dental
Vision
Company Car, Petrol Card, Toll & Parking allowance",51-100 employees,Machinery & Automation,"Petaling, Selangor"
ZALORA Malaysia,Data Scientist II,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",3.9,Medical,"101-1,000 employees",Arts & Cultural Services,Kuala Lumpur
Unison Consulting,Data Engineer with Python /Pyspark,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Selangor, Selangor"
ACCORD INNOVATIONS SDN. BHD.,"Data Engineer, Data Support Engineer",No info for Job Salary,Contract/Temp,Database Development & Administration (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
Unison Consulting,"Data Engineer (Spark ,Scala, Elastic Search)",No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
BUMIRIA DINAMIK SDN BHD,"Assistant Vice President, Fraud Data Engineer - Hybrid",No info for Job Salary,Full time,Compliance & Risk (Banking & Financial Services),No info for Company Review,"Medical
Parking
Bonus, Attendance Allowance",51-100 employees,Retail & Consumer Products,Kuala Lumpur
SWIFT SUPPORT SERVICES MALAYSIA SDN. BHD.,Data Engineer Lead,No info for Job Salary,Full time,Architects (Information & Communication Technology),4.1,"Medical
Education support
Dental
Parking
Vision
Flexible benefits, Health check benefit, Work from","1,001-5,000 employees",Banking & Financial Services,Kuala Lumpur
SWIFT SUPPORT SERVICES MALAYSIA SDN. BHD.,Lead Data Engineer,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),4.1,"Medical
Education support
Dental
Parking
Vision
Flexible benefits, Health check benefit, Work from","1,001-5,000 employees",Banking & Financial Services,Kuala Lumpur
Unison Consulting,Data Engineer (Spark Scala DevOps),No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Scicom (MSC) Berhad,Global Telecommunications Engineer (Mobile Data Engineer) (English Language,No info for Job Salary,Full time,Help Desk & IT Support (Information & Communication Technology),4,Medical,"1,001-5,000 employees",Information & Communication Technology,"Kuala Lumpur City Centre, Kuala Lumpur"
Deloitte,Forensic Manager (Data Analytics),No info for Job Salary,Full time,Compliance & Risk (Banking & Financial Services),3.9,Medical,51-100 employees,Accounting & Auditing,Kuala Lumpur
XSOLLA KL SDN. BHD.,Data Engineer,No info for Job Salary,Full time,Financial Accounting & Reporting (Accounting),4.3,"Medical
Dental
Sports (e.g. Gym)
Vision
maternity and paternity claim","101-1,000 employees",Services,"Kuala Lumpur City Centre, Kuala Lumpur"
DKSH Malaysia Sdn Bhd,Data Scientist,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",3.7,"Dental
Medical
Parking
Sports (e.g. Gym)
Vision","1,001-5,000 employees",Trades & Services,Kuala Lumpur
ZALORA Malaysia,Data Scientist,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",3.9,Medical,"101-1,000 employees",Arts & Cultural Services,Kuala Lumpur
Genting Malaysia Berhad,Senior Data Engineer,No info for Job Salary,Full time,Management (Information & Communication Technology),4,"Medical
Education support
Loans
Dental
Sports (e.g. Gym)
Free accommodation","More than 10,000 employees",Hotel & Accommodation Services,"Kuala Lumpur City Centre, Kuala Lumpur"
ACCORD INNOVATIONS SDN. BHD.,13723502 - Data (Quality Engineer w/ Databricks/ Information; MY),No info for Job Salary,Contract/Temp,Engineering - Software (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
Microsoft,Support Engineering (Data AI | Data Integration),No info for Job Salary,Full time,Help Desk & IT Support (Information & Communication Technology),4.3,No info for Company Benefits,1-10 employees,Computer Software & Networking,Kuala Lumpur
Oxydata Software Sdn Bhd,Data Engineering Specialist,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),No info for Company Review,"Medical
Miscellaneous allowance
Education support
Performance bonus",51-100 employees,Computer Software & Networking,Kuala Lumpur
Genting Malaysia Berhad,System Analyst - Data Engineering,No info for Job Salary,Full time,Business/Systems Analysts (Information & Communication Technology),4,"Medical
Education support
Loans
Dental
Sports (e.g. Gym)
Free accommodation","More than 10,000 employees",Hotel & Accommodation Services,"Kuala Lumpur City Centre, Kuala Lumpur"
Unison Consulting,Data- Developer/ Engineer- Cloudera Hadoop,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
MANDRILL TECH SDN. BHD.,SysOps/ DevOps Engineer,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
DKSH Malaysia Sdn Bhd,"Data Scientist, Manager / Senior Manager",No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",3.7,"Dental
Medical
Parking
Sports (e.g. Gym)
Vision","1,001-5,000 employees",Trades & Services,Kuala Lumpur
Abyres Sdn Bhd,Lead Engineer - ETL Development Urgently Hiring,No info for Job Salary,Full time,Consultants (Information & Communication Technology),4.3,"Medical
Parking",11-50 employees,Computer Software & Networking,"Cyberjaya, Selangor"
Principal Malaysia,Job Posting Title Senior Data Engineer,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
Borong,Senior Data Engineer,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
Mindrift,Technical Writer (English) - Freelance AI tutor,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
PWC CORPORATION Sdn Bhd,Experienced Associate - Data Engineering (PwC Acceleration Center Kuala Lumpur),No info for Job Salary,Full time,Analysis & Reporting (Banking & Financial Services),4.4,"Medical
Education support
Sports (e.g. Gym)","1,001-5,000 employees",Accounting,Kuala Lumpur
Unison Consulting,Data- Developer/ Engineer- Teradata,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
Equinix,Data Center Critical Facilities Engineer (A0/A1 Chargeman),No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
EQUINIX EMEA,Data Center Critical Facilities Engineer (A0/A1 Chargeman),No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
Roche Services & Solutions Operations APAC,Section Lead - Data & Analytics - Data Engineering,No info for Job Salary,Full time,Management & Change Consulting (Consulting & Strategy),4.1,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking
Vision","101-1,000 employees","Pharmaceuticals, Biotechnology & Medical","Petaling, Selangor"
SWIFT SUPPORT SERVICES MALAYSIA SDN. BHD.,Senior Data Engineer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),4.1,"Medical
Education support
Dental
Parking
Vision
Flexible benefits, Health check benefit, Work from","1,001-5,000 employees",Banking & Financial Services,Kuala Lumpur
Boo,Data Scientist - Remote,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
REV Media Group,Data Science & Analytics,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",4.3,"Medical
Dental
Sports (e.g. Gym)",51-100 employees,"Broadcast Media, Entertainment and Publishing",Selangor
PWC CORPORATION Sdn Bhd,Manager - Data Engineering (PwC Acceleration Center Kuala Lumpur),No info for Job Salary,Full time,Analysis & Reporting (Banking & Financial Services),4.4,"Medical
Education support
Sports (e.g. Gym)","1,001-5,000 employees",Accounting,Kuala Lumpur
ACCORD INNOVATIONS SDN. BHD.,"Data Developer (ETL Informatica) 841, 843",No info for Job Salary,Contract/Temp,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,"Kuala Lumpur City Centre, Kuala Lumpur"
ACCORD INNOVATIONS SDN. BHD.,Senior Data Protection Engineer (L3),No info for Job Salary,Contract/Temp,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Perak
ACCORD INNOVATIONS SDN. BHD.,Data- Developer (Teradata / Hadoop & Informatica) - 13669165,No info for Job Salary,Contract/Temp,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
Extreme Broadband Sdn. Bhd.,Senior Presales Engineer - Data Center,No info for Job Salary,Full time,Telecommunications (Information & Communication Technology),4.3,"Medical
Miscellaneous allowance
Dental
Parking
Vision
Quarterly office outing",51-100 employees,Telecommunications & Internet Service Providers,Putrajaya
Unison Consulting,Senior Data Protection Engineer Level 3,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
THUNDER SOFTWARE TECHNOLOGY MALAYSIA SDN. BHD.,Devops Engineer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),4.5,"Medical
Dental
Artificial Intelligence On-job Training",51-100 employees,Computer Software & Networking,"Bayan Lepas, Penang"
PWC CORPORATION Sdn Bhd,Senior Associate - Data Engineering (PwC Acceleration Center Kuala Lumpur),No info for Job Salary,Full time,Analysis & Reporting (Banking & Financial Services),4.4,"Medical
Education support
Sports (e.g. Gym)","1,001-5,000 employees",Accounting,Kuala Lumpur
ACCORD INNOVATIONS SDN. BHD.,Machine Learning Engineer (Banking),No info for Job Salary,Contract/Temp,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
Robert Bosch (M) Sdn Bhd,Senior/Staff Digitalization Engineer,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),4.2,"Medical
Dental
Leave Entitlement e.g: Annual Leave, Medical Leave",51-100 employees,Consumer Electronics Manufacturing,"Batu Kawan, Penang"
NielsenIQ,Data Science Executive,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",3.5,"Medical
Parking","101-1,000 employees",Consulting Services,"Petaling, Selangor"
Experian (Malaysia) Sdn Bhd,Data Modeler,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",4,"Insurance, Health & Wellness
Financial & Retirement
Family & Parenting
Vacation & Time Off
Professional Qualification Support
Experian Cares Allowance","101-1,000 employees",Computer Software & Networking,"Dengkil, Selangor"
Ideagenen,AI Engineer Level 2,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Shah Alam, Selangor"
ACCORD INNOVATIONS SDN. BHD.,SAP FI Data Consultant,No info for Job Salary,Contract/Temp,Consultants (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
PRISM BERHAD,Data Manager,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),No info for Company Review,Medical,11-50 employees,Arts & Cultural Services,"Bukit Jalil, Kuala Lumpur"
Softbank Investment advisers,Lead Data Scientist (Analytics) - Fulfilment,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling, Selangor"
Visasoft Ltd,"Sr. Manager, Data Science",No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,No info for Company Benefits,1-10 employees,"Advertising, Marketing & Communications",Kuala Lumpur
ACCORD INNOVATIONS SDN. BHD.,ETL Engineer,No info for Job Salary,Contract/Temp,Database Development & Administration (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
EDWARDS LIFESCIENCES (MALAYSIA) SDN. BHD.,Senior Developer - IT Data Analytics,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,Medical,"More than 10,000 employees",Healthcare & Medical,Kuala Lumpur
ACCORD INNOVATIONS SDN. BHD.,Data Stage Developer,No info for Job Salary,Contract/Temp,Developers/Programmers (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
3E Accounting My,Machine Learning Engineer,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
